Date Time,Close,Open,High,Low,Change %,Volume
2017-04-19 00:00:00,108.86,108.42,109.19,108.36,0.41%,150
2017-04-18 00:00:00,108.42,108.92,109.23,108.31,-0.45%,150
2017-04-17 00:00:00,108.91,108.67,109.06,108.12,0.25%,150
2017-04-14 00:00:00,108.64,109.09,109.25,108.55,-0.41%,150
2017-04-13 00:00:00,109.09,109.02,109.41,108.72,0.06%,150
2017-04-12 00:00:00,109.03,109.63,109.89,108.96,-0.54%,150
2017-04-11 00:00:00,109.62,110.94,110.97,109.6,-1.19%,150
2017-04-10 00:00:00,110.94,111.09,111.58,110.78,-0.12%,150
2017-04-07 00:00:00,111.07,110.81,111.38,110.13,0.23%,150
2017-04-06 00:00:00,110.81,110.69,111.14,110.28,0.10%,150
2017-04-05 00:00:00,110.7,110.77,111.47,110.53,-0.05%,150
2017-04-04 00:00:00,110.75,110.89,110.97,110.27,-0.13%,150
2017-04-03 00:00:00,110.89,111.41,111.61,110.84,-0.45%,150
2017-03-31 00:00:00,111.39,111.92,112.2,111.22,-0.47%,150
2017-03-30 00:00:00,111.92,111.06,111.97,110.94,0.78%,150
2017-03-29 00:00:00,111.05,111.14,111.33,110.7,-0.10%,150
2017-03-28 00:00:00,111.16,110.69,111.22,110.19,0.45%,150
2017-03-27 00:00:00,110.66,111.23,111.27,110.1,-0.61%,150
2017-03-24 00:00:00,111.34,110.94,111.5,110.61,0.36%,150
2017-03-23 00:00:00,110.94,111.17,111.58,110.61,-0.20%,150
2017-03-22 00:00:00,111.16,111.7,111.81,110.72,-0.50%,150
2017-03-21 00:00:00,111.72,112.55,112.88,111.55,-0.75%,150
2017-03-20 00:00:00,112.56,112.69,112.89,112.44,-0.14%,150
2017-03-17 00:00:00,112.72,113.31,113.5,112.55,-0.52%,150
2017-03-16 00:00:00,113.31,113.36,113.56,112.91,-0.06%,150
2017-03-15 00:00:00,113.38,114.75,114.91,113.18,-1.19%,150
2017-03-14 00:00:00,114.75,114.88,115.2,114.5,-0.11%,150
2017-03-13 00:00:00,114.88,114.81,114.93,114.47,0.11%,150
2017-03-10 00:00:00,114.75,114.94,115.51,114.63,-0.17%,150
2017-03-09 00:00:00,114.94,114.38,115.03,114.33,0.52%,150
2017-03-08 00:00:00,114.35,113.99,114.77,113.61,0.32%,150
2017-03-07 00:00:00,113.98,113.89,114.17,113.72,0.08%,150
2017-03-06 00:00:00,113.89,114.02,114.14,113.55,-0.11%,150
2017-03-03 00:00:00,114.02,114.42,114.77,113.83,-0.34%,150
2017-03-02 00:00:00,114.41,113.75,114.61,113.69,0.60%,150
2017-03-01 00:00:00,113.73,112.78,114.06,112.73,0.84%,150
2017-02-28 00:00:00,112.78,112.72,112.91,111.7,0.07%,150
2017-02-27 00:00:00,112.7,112.11,112.86,111.92,0.45%,150
2017-02-24 00:00:00,112.19,112.61,112.96,111.92,-0.36%,150
2017-02-23 00:00:00,112.59,113.31,113.47,112.56,-0.63%,150
2017-02-22 00:00:00,113.3,113.72,113.75,112.91,-0.34%,150
2017-02-21 00:00:00,113.69,113.08,113.78,113.08,0.52%,150
2017-02-20 00:00:00,113.1,112.86,113.26,112.78,0.19%,150
2017-02-17 00:00:00,112.88,113.25,113.53,112.61,-0.31%,150
2017-02-16 00:00:00,113.23,114.17,114.36,113.09,-0.82%,150
2017-02-15 00:00:00,114.17,114.23,114.97,113.84,-0.08%,150
2017-02-14 00:00:00,114.26,113.73,114.5,113.22,0.45%,150
2017-02-13 00:00:00,113.75,113.33,114.17,113.28,0.47%,150
2017-02-10 00:00:00,113.22,113.25,113.88,112.86,-0.03%,150
2017-02-09 00:00:00,113.25,111.97,113.38,111.73,1.17%,150
2017-02-08 00:00:00,111.94,112.36,112.55,111.61,-0.40%,150
2017-02-07 00:00:00,112.39,111.75,112.58,111.58,0.57%,150
2017-02-06 00:00:00,111.75,112.42,112.81,111.64,-0.84%,150
2017-02-03 00:00:00,112.7,112.78,113.45,112.28,-0.10%,150
2017-02-02 00:00:00,112.81,113.25,113.36,112.03,-0.39%,150
2017-02-01 00:00:00,113.25,112.81,113.97,112.62,0.40%,150
2017-01-31 00:00:00,112.8,113.75,113.97,112.06,-0.86%,150
2017-01-30 00:00:00,113.78,115.09,115.14,113.44,-1.13%,150
2017-01-27 00:00:00,115.08,114.53,115.39,114.39,0.48%,150
2017-01-26 00:00:00,114.53,113.28,114.86,113.03,1.10%,150
2017-01-25 00:00:00,113.28,113.78,114.0,113.03,-0.46%,150
2017-01-24 00:00:00,113.8,112.7,113.91,112.5,0.98%,150
2017-01-23 00:00:00,112.7,114.37,114.45,112.68,-1.68%,150
2017-01-20 00:00:00,114.62,114.88,115.41,114.22,-0.22%,150
2017-01-19 00:00:00,114.87,114.63,115.62,114.38,0.17%,150
2017-01-18 00:00:00,114.67,112.61,114.77,112.56,1.80%,150
2017-01-17 00:00:00,112.64,114.19,114.3,112.59,-1.37%,150
2017-01-16 00:00:00,114.2,114.55,114.55,113.67,-0.29%,150
2017-01-13 00:00:00,114.53,114.72,115.46,114.2,-0.17%,150
2017-01-12 00:00:00,114.72,115.42,115.53,113.75,-0.60%,150
2017-01-11 00:00:00,115.41,115.78,116.86,114.24,-0.31%,150
2017-01-10 00:00:00,115.77,116.02,116.35,115.19,-0.22%,150
2017-01-09 00:00:00,116.03,116.91,117.53,115.97,-0.76%,150
2017-01-06 00:00:00,116.92,115.36,117.19,115.06,1.35%,150
2017-01-05 00:00:00,115.36,117.25,117.44,115.22,-1.63%,150
2017-01-04 00:00:00,117.27,117.77,118.19,117.05,-0.41%,150
2017-01-03 00:00:00,117.75,117.55,118.61,117.2,0.19%,150
2017-01-02 00:00:00,117.53,116.92,117.69,116.72,0.55%,150
2016-12-30 00:00:00,116.89,116.56,117.22,116.05,0.29%,150
2016-12-29 00:00:00,116.55,117.25,117.27,116.2,-0.60%,150
2016-12-28 00:00:00,117.25,117.41,117.83,117.05,-0.14%,150
2016-12-27 00:00:00,117.42,117.09,117.64,117.08,0.28%,150
2016-12-26 00:00:00,117.09,117.38,117.4,116.99,-0.22%,150
2016-12-23 00:00:00,117.35,117.55,117.67,117.18,-0.16%,150
2016-12-22 00:00:00,117.54,117.58,117.9,117.26,-0.01%,150
2016-12-21 00:00:00,117.55,117.84,118.07,117.08,-0.28%,150
2016-12-20 00:00:00,117.88,117.11,118.28,116.99,0.68%,150
2016-12-19 00:00:00,117.08,117.89,118.03,116.53,-0.77%,150
2016-12-16 00:00:00,117.99,118.18,118.43,117.45,-0.15%,150
2016-12-15 00:00:00,118.17,117.05,118.67,116.97,0.96%,150
2016-12-14 00:00:00,117.05,115.17,117.39,114.75,1.61%,150
2016-12-13 00:00:00,115.19,115.03,115.5,114.73,0.14%,150
2016-12-12 00:00:00,115.03,115.22,116.12,114.83,-0.32%,150
2016-12-09 00:00:00,115.4,114.04,115.4,114.0,1.20%,150
2016-12-08 00:00:00,114.03,113.73,114.39,113.14,0.23%,150
2016-12-07 00:00:00,113.77,114.0,114.41,113.39,-0.22%,150
2016-12-06 00:00:00,114.02,113.88,114.22,113.5,0.16%,150
2016-12-05 00:00:00,113.84,113.55,114.8,112.86,0.23%,150
2016-12-02 00:00:00,113.58,114.1,114.25,113.33,-0.45%,150
2016-12-01 00:00:00,114.09,114.45,114.83,113.81,-0.33%,150
2016-11-30 00:00:00,114.47,112.41,114.56,112.05,1.85%,150
2016-11-29 00:00:00,112.39,111.94,113.36,111.61,0.40%,150
2016-11-28 00:00:00,111.94,113.05,113.12,111.33,-1.01%,150
2016-11-25 00:00:00,113.08,113.34,113.91,112.55,-0.23%,150
2016-11-24 00:00:00,113.34,112.53,113.58,112.39,0.73%,150
2016-11-23 00:00:00,112.52,111.11,112.98,110.83,1.26%,150
2016-11-22 00:00:00,111.12,110.81,111.36,110.23,0.26%,150
2016-11-21 00:00:00,110.83,110.93,111.4,110.46,-0.11%,150
2016-11-18 00:00:00,110.95,110.13,110.98,109.8,0.76%,150
2016-11-17 00:00:00,110.11,109.08,110.2,108.55,0.94%,150
2016-11-16 00:00:00,109.08,109.19,109.77,108.78,-0.08%,150
2016-11-15 00:00:00,109.17,108.42,109.36,107.77,0.69%,150
2016-11-14 00:00:00,108.42,106.54,108.56,106.53,1.63%,150
2016-11-11 00:00:00,106.68,106.82,106.94,106.01,-0.14%,150
2016-11-10 00:00:00,106.83,105.67,106.95,104.97,1.10%,150
2016-11-09 00:00:00,105.67,105.14,105.91,101.17,0.48%,150
2016-11-08 00:00:00,105.16,104.46,105.22,104.29,0.66%,150
2016-11-07 00:00:00,104.47,103.14,104.64,103.09,1.29%,150
2016-11-04 00:00:00,103.14,102.98,103.37,102.83,0.16%,150
2016-11-03 00:00:00,102.98,103.31,103.45,102.56,-0.32%,150
2016-11-02 00:00:00,103.31,104.14,104.19,103.0,-0.82%,150
2016-11-01 00:00:00,104.16,104.84,105.14,103.81,-0.63%,150
2016-10-31 00:00:00,104.82,104.69,105.23,104.25,0.11%,150
2016-10-28 00:00:00,104.7,105.28,105.55,104.47,-0.56%,150
2016-10-27 00:00:00,105.29,104.46,105.35,104.28,0.78%,150
2016-10-26 00:00:00,104.47,104.22,104.62,104.0,0.23%,150
2016-10-25 00:00:00,104.23,104.18,104.88,104.1,0.04%,150
2016-10-24 00:00:00,104.19,103.86,104.33,103.7,0.35%,150
2016-10-21 00:00:00,103.83,103.95,104.23,103.53,-0.12%,150
2016-10-20 00:00:00,103.95,103.44,104.11,103.33,0.49%,150
2016-10-19 00:00:00,103.44,103.84,103.94,103.16,-0.40%,150
2016-10-18 00:00:00,103.86,103.89,104.22,103.67,-0.03%,150
2016-10-17 00:00:00,103.89,104.06,104.39,103.77,-0.29%,150
2016-10-14 00:00:00,104.19,103.7,104.48,103.59,0.48%,150
2016-10-13 00:00:00,103.69,104.22,104.64,103.33,-0.49%,150
2016-10-12 00:00:00,104.2,103.52,104.5,103.28,0.66%,150
2016-10-11 00:00:00,103.52,103.61,104.08,103.16,-0.09%,150
2016-10-10 00:00:00,103.61,103.09,103.81,102.81,0.67%,150
2016-10-07 00:00:00,102.92,103.94,104.05,102.86,-0.98%,150
2016-10-06 00:00:00,103.94,103.5,104.17,103.33,0.43%,150
2016-10-05 00:00:00,103.5,102.89,103.67,102.67,0.59%,150
2016-10-04 00:00:00,102.89,101.64,102.97,101.56,1.23%,150
2016-10-03 00:00:00,101.64,101.39,101.69,101.22,0.30%,150
2016-09-30 00:00:00,101.34,101.03,101.77,100.75,0.31%,150
2016-09-29 00:00:00,101.03,100.69,101.86,100.64,0.36%,150
2016-09-28 00:00:00,100.67,100.42,100.83,100.25,0.23%,150
2016-09-27 00:00:00,100.44,100.33,101.0,100.08,0.11%,150
2016-09-26 00:00:00,100.33,101.05,101.11,100.23,-0.66%,150
2016-09-23 00:00:00,101.0,100.75,101.25,100.67,0.25%,150
2016-09-22 00:00:00,100.75,100.33,100.94,100.09,0.44%,150
2016-09-21 00:00:00,100.31,101.72,102.81,100.31,-1.38%,150
2016-09-20 00:00:00,101.71,101.95,102.08,101.54,-0.23%,150
2016-09-19 00:00:00,101.94,102.22,102.42,101.58,-0.35%,150
2016-09-16 00:00:00,102.3,102.08,102.47,101.73,0.21%,150
2016-09-15 00:00:00,102.09,102.42,102.75,101.92,-0.32%,150
2016-09-14 00:00:00,102.42,102.56,103.36,102.25,-0.14%,150
